Committee num,Barzel,Name,Symbol,Voters,Invalid,Avoda,Yahadut Hatora,Meshutefet,1,2,3,4,Yemina,5,6,7,8,9,10,11,Otzma Yehudit,Yisrael Beytenu,Likud,Meretz,12,13,14,Kahol Lavan,15,16,17,18,19,20,21,22,Shas
18,9797,??? ?'?????? (???),967,113,2,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
18,9798,??? ?'?????? (???),967,224,1,3,0,202,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,0,0,0,0,1,1,0,0,0
18,9799,??? ?'?????? (???),967,205,6,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,733,??? ???,472,268,3,8,0,194,0,0,0,0,0,0,2,0,1,0,0,0,0,1,8,20,0,0,0,25,0,1,0,0,0,0,0,0,5
2,734,??? ???,472,363,6,5,0,290,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,7,0,0,0,33,0,0,0,0,2,1,0,0,6
2,735,??? ???,472,335,3,5,1,217,0,0,0,0,0,0,5,0,0,0,0,0,0,1,30,11,0,0,0,40,0,1,0,0,1,1,1,0,18
2,736,??? ???,472,408,10,5,0,281,1,0,0,0,1,0,8,0,0,0,0,0,1,2,21,16,0,0,0,55,0,0,1,0,0,0,2,1,3
2,737,??? ???,472,234,7,7,1,148,0,0,0,0,0,0,4,1,0,0,0,1,0,0,18,10,0,0,0,31,0,0,0,1,0,0,0,2,3
2,738,??? ???,472,344,12,6,0,260,0,0,0,0,0,0,2,1,0,0,0,0,2,0,10,6,0,0,0,41,1,0,0,0,0,0,1,0,2
2,739,??? ???,472,295,8,2,0,194,0,0,0,0,1,0,2,0,0,0,0,2,0,3,18,6,1,0,0,43,2,0,0,0,0,0,1,0,12
2,740,??? ???,472,212,4,2,3,148,0,0,0,1,0,0,8,0,0,0,0,1,1,1,6,6,0,0,0,27,1,0,0,0,0,0,0,0,3
6,2321,??? ????,473,465,1,2,0,395,0,0,0,2,2,1,0,0,0,0,0,5,0,8,11,8,0,1,0,22,0,0,1,0,1,0,1,0,4
6,2322,??? ????,473,458,6,4,0,403,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,5,0,1,0,16,0,0,0,0,1,1,0,0,12
6,2323,??? ????,473,438,3,9,1,257,0,0,0,0,0,0,0,1,0,0,0,2,0,46,27,4,0,0,0,83,0,1,0,0,0,0,0,0,4
6,2324,??? ????,473,403,4,3,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,3,0,1,0,37,0,0,0,0,0,0,1,1,13
6,2325,??? ????,473,454,3,10,0,350,0,0,0,0,1,0,0,0,0,0,0,0,1,18,7,1,0,0,0,50,0,0,0,0,0,0,0,0,13
6,2326,??? ????,473,499,4,5,0,334,0,0,0,0,0,0,0,1,0,0,0,0,0,28,34,4,1,0,0,59,0,1,0,0,0,0,0,0,28
6,2327,??? ????,473,460,1,9,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,5,0,0,0,72,0,0,0,0,0,1,0,1,34
6,2328,??? ????,473,440,9,4,0,328,0,0,0,0,1,0,0,0,0,1,0,7,0,15,11,1,0,0,0,25,0,0,0,0,0,1,0,1,36
6,2329,??? ????,473,394,2,7,0,278,0,0,0,0,0,1,0,0,0,0,0,3,2,18,13,3,0,0,0,48,0,0,1,0,1,0,0,0,17
6,2330,??? ????,473,423,8,11,0,292,0,0,0,0,0,0,0,0,1,1,0,1,0,17,15,4,0,0,0,63,0,0,0,0,0,1,1,0,8
6,2331,??? ????,473,402,5,9,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26,4,0,0,0,99,0,0,0,0,1,1,0,0,21
6,2332,??? ????,473,428,2,10,2,126,0,0,0,0,2,0,0,0,0,0,0,3,0,70,22,7,0,0,0,145,0,0,1,0,4,0,1,0,33
6,2333,??? ????,473,403,2,5,0,239,1,0,0,0,0,0,0,0,0,0,0,1,0,39,21,6,0,0,0,83,0,1,0,0,0,1,0,0,4
18,9800,??? ????? (???),958,47,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,9801,??? ??????? (???),968,331,2,2,0,297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,2,0,19,0,0,0,0,0,0,1,0,1
18,9802,??? ??????? (???),968,315,5,4,0,280,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2,0,15,1,0,0,0,0,1,1,0,0
