Committee num,Barzel,Name,Symbol,Voters,Invalid,Avoda,Yemina,Yahadut Hatora,Meshutefet,Hayisraelim,Tzomet,Tziyonut Detit,Gimlaim,Calcalit,Brit Shutafut,Kvod Haadam,Gush Tanachi,Manhigut Hevratit,Halev Hayehudi,Ani veAta,Kahol Lavan,Yisrael Beytenu,Likud,Meretz,Kamah,Olam Hadash,Anahnu,Raam,Yesh Atid,Pirates,Atzmenu,Maan,Hetz,Daam,Habilti Efshari,Shema,Seder Hadash,Mishpat Tzedek,Rapeh,Hatikva Leshinui,Am Shalem,Democratit,Shas,Tikva Hadasha
6,3238,??????,1220,151,1,47,0,0,3,0,0,2,0,3,0,0,0,0,0,0,16,2,5,31,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,1,8
5,1788,??????,113,180,0,1,7,4,0,0,0,9,0,1,0,0,0,0,0,0,3,0,84,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,61,6
8,4113,????,278,276,0,72,7,0,3,0,0,0,0,2,0,0,1,0,0,0,37,8,24,20,0,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
17,10449,?????,1157,145,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,36,3,27,10,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
17,10450,?????,338,40,0,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,5,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,4332,???????,1316,84,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1553,??????,330,205,0,45,12,1,0,0,0,2,0,2,0,0,0,0,0,0,26,3,24,31,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
9,4798,????? ????,868,23,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,1613,?????,4002,222,3,46,21,0,0,0,0,8,0,1,0,0,0,0,0,0,27,12,18,11,0,0,0,0,54,1,0,0,0,0,0,0,0,0,3,0,0,0,0,17
4,1580,??????,1125,232,1,67,3,0,1,0,0,1,0,2,0,0,0,0,0,0,48,12,6,31,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
4,1581,?????,1253,220,1,17,38,1,0,0,0,9,0,4,0,0,0,0,0,0,27,8,63,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,1,17
17,10330,?????,23,103,0,8,21,0,0,0,1,24,0,1,0,0,0,0,0,0,5,1,22,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
4,1615,????,4301,177,3,32,8,0,0,1,0,2,0,3,0,0,0,0,0,0,22,8,14,15,0,0,0,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11
17,9923,?????,70,241,0,2,9,2,0,0,0,7,0,0,0,0,0,0,0,0,7,45,110,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,14,15
17,9924,?????,70,192,5,4,3,1,0,0,0,6,0,1,0,0,0,0,0,0,9,48,55,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12
17,9925,?????,70,229,0,8,7,0,0,0,0,5,0,2,0,0,0,0,0,0,13,54,76,2,0,0,0,0,29,1,0,0,0,0,0,0,0,0,2,0,0,0,20,10
17,9926,?????,70,155,2,4,3,0,0,0,0,2,0,2,0,0,0,1,0,0,8,44,54,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
17,9927,?????,70,296,1,8,12,3,0,0,0,5,0,5,1,0,0,0,0,0,13,31,119,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,1,0,0,41,15
17,9928,?????,70,274,1,17,10,1,0,0,0,4,0,3,0,0,0,0,0,0,16,21,110,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,25,19
17,9929,?????,70,313,5,13,16,4,0,0,0,11,0,2,1,0,1,0,0,1,27,37,121,2,0,0,1,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,23,14
17,9930,?????,70,287,6,6,15,1,0,0,0,10,0,3,1,0,0,0,0,0,19,47,106,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,19,16
17,9931,?????,70,270,2,10,16,2,0,0,0,8,0,1,0,0,0,0,0,0,14,53,65,7,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,1,0,0,30,13
17,9932,?????,70,248,5,2,7,1,0,0,0,6,1,3,0,0,1,0,0,0,7,50,99,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9
17,9933,?????,70,148,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,3,37,57,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
17,9934,?????,70,270,3,4,2,2,0,0,0,8,0,2,0,0,1,0,1,0,9,65,114,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,3,0,0,0,21,10
17,9935,?????,70,219,3,2,7,2,0,0,0,4,0,0,1,0,0,0,0,0,3,53,88,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,27,2
17,9936,?????,70,259,4,7,6,1,0,0,0,5,0,1,0,0,0,0,0,2,5,85,75,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,22,19
17,9937,?????,70,245,0,6,8,2,0,0,0,5,0,2,0,0,0,0,0,0,8,40,90,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,1,0,0,50,12
17,9938,?????,70,267,2,8,8,6,0,0,0,3,1,1,0,0,0,0,0,0,3,62,107,5,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,32,14
17,9939,?????,70,220,1,2,14,4,0,0,0,10,0,1,0,0,0,0,0,0,5,39,95,4,0,0,0,0,21,0,0,0,0,0,2,0,0,0,1,0,0,0,18,3
17,9940,?????,70,249,1,3,5,4,0,0,0,12,0,1,0,0,0,0,0,0,3,42,99,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,42,12
17,9941,?????,70,279,4,9,9,1,0,0,0,3,0,1,0,0,0,0,0,0,3,84,99,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10
17,9942,?????,70,193,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,41,78,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,34,4
17,9943,?????,70,192,1,3,4,4,1,0,0,3,0,1,0,0,0,0,0,0,9,29,99,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,23,6
17,9944,?????,70,168,2,6,4,1,1,0,0,7,0,0,0,0,0,0,0,0,4,33,67,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,22,5
17,9945,?????,70,333,3,6,29,0,0,0,0,19,1,0,0,0,0,0,0,1,9,47,140,1,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,31,18
17,9946,?????,70,222,3,2,4,0,0,0,0,6,0,1,0,0,0,0,0,0,2,31,96,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,58,5
17,9947,?????,70,296,2,2,9,36,0,0,0,13,0,0,0,0,0,0,0,2,9,8,102,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,89,12
17,9948,?????,70,338,3,0,4,152,0,0,0,9,0,4,0,0,0,0,0,0,4,23,47,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9
17,9949,?????,70,338,1,5,8,106,0,0,0,6,0,5,0,0,0,0,0,0,12,20,69,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8
17,9950,?????,70,307,2,2,5,83,0,0,0,8,0,0,0,0,0,0,0,0,11,19,67,1,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,90,7
17,9951,?????,70,306,3,0,9,135,0,0,0,7,0,1,0,0,0,0,0,0,1,21,57,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2
17,9952,?????,70,307,2,7,10,23,0,0,0,7,0,5,0,0,0,0,0,0,11,27,101,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,90,8
17,9953,?????,70,292,4,5,3,71,0,0,0,7,0,4,0,0,0,0,0,0,10,30,70,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,62,5
17,9954,?????,70,293,2,3,4,30,0,0,0,14,0,2,0,0,0,1,0,0,7,27,96,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9
17,9955,?????,70,286,3,1,12,38,0,0,0,8,0,1,1,0,0,0,0,0,12,26,80,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,83,3
17,9956,?????,70,313,1,3,7,90,0,1,0,4,0,3,0,0,0,1,0,1,6,38,71,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,1,0,54,13
17,9957,?????,70,315,5,4,9,55,0,0,0,9,0,0,0,0,0,0,0,0,11,57,88,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8
17,9958,?????,70,266,2,7,8,1,1,1,0,10,0,8,0,0,0,1,0,0,8,38,90,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,39,19
17,9959,?????,70,248,2,9,3,2,0,0,0,8,0,0,0,0,0,0,0,0,15,54,76,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,1,0,0,25,13
17,9960,?????,70,225,5,4,11,1,0,0,0,8,0,3,0,0,0,0,0,0,10,24,102,3,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,28,11
17,9961,?????,70,517,2,0,1,111,0,0,0,12,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0
17,9962,?????,70,344,3,1,5,22,1,0,0,7,0,1,0,0,0,0,0,0,9,18,81,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,177,6
17,9963,?????,70,417,4,0,10,52,1,0,0,7,0,0,0,0,0,0,0,1,3,25,93,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,208,5
17,9964,?????,70,357,5,3,11,59,0,0,0,5,0,2,0,0,0,0,0,0,8,39,69,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6
17,9965,?????,70,343,4,1,6,29,0,0,0,14,0,0,0,0,0,0,0,0,3,6,64,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,3,0,0,0,198,5
17,9966,?????,70,364,2,3,5,54,0,0,0,19,0,0,0,0,0,0,0,0,7,17,63,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,181,5
17,9967,?????,70,371,0,0,1,31,0,0,0,5,0,1,0,0,0,0,0,0,3,13,52,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,249,8
17,9968,?????,70,332,3,1,10,69,0,0,0,11,0,1,0,0,0,0,0,0,0,23,55,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,142,5
17,9969,?????,70,209,4,1,8,1,0,0,0,2,1,0,0,0,0,0,0,1,14,43,81,2,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,19,12
17,9970,?????,70,188,2,0,6,0,0,0,0,5,0,1,0,0,0,1,0,0,5,45,71,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,19,13
17,9971,?????,70,216,3,3,4,1,0,0,0,2,0,2,0,0,0,0,0,0,4,38,82,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,52,6
17,9972,?????,70,213,2,1,5,2,0,0,0,10,0,1,0,0,0,0,0,1,5,37,100,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10
17,9973,?????,70,229,0,4,14,1,0,0,0,3,1,1,0,0,0,0,0,0,15,55,83,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,19,11
17,9974,?????,70,338,3,18,39,0,0,0,0,20,0,7,0,0,0,0,0,0,21,17,116,10,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17
