Committee num,Barzel,Name,Symbol,Voters,Invalid,Avoda,1,Habait Hayehudi,Yahadut Hatora,Balad,Hadash Taal,2,3,4,5,Tziyonut Detit,6,7,8,9,10,Hamahane Hamamlahti,ך,Yisrael Beytenu,Likud,Meretz,11,12,13,14,15,16,Raam,Yesh Atid,17,18,19,20,21,22,23,24,25,Shas,26
18,10619,?,967,173,4,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,2
18,10620,?,967,96,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1
18,10621,?,967,169,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,2,0
18,10622,?,967,111,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,96,0,0,1,0,0,0,0,0,0,0,2,0
2,806,?,472,360,7,1,0,0,0,171,43,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,110,5,0,0,1,0,0,0,0,0,0,0,0
2,807,?,472,333,4,3,0,0,0,137,40,0,0,0,0,1,0,0,0,0,0,2,0,0,34,8,0,0,0,0,0,0,98,4,0,0,1,0,0,0,0,0,0,1,0
2,808,?,472,324,3,2,0,0,0,176,36,0,0,0,0,1,0,0,0,0,0,2,1,0,10,3,0,0,0,0,0,0,81,2,0,1,3,1,0,1,0,1,0,0,0
2,809,?,472,350,2,1,0,0,0,139,33,0,0,0,0,1,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,118,4,0,1,0,0,0,0,0,0,0,2,0
2,810,?,472,260,6,0,0,0,0,102,22,0,0,0,0,1,0,0,0,0,0,0,1,0,20,5,0,0,0,0,0,0,99,3,0,0,1,0,0,0,0,0,0,0,0
2,811,?,472,284,4,1,0,0,0,140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0
